欧州経済領域（EEA）およびスイス,欧州経済領域（EEA）およびスイス,ベース純資産 （再保険控除後）,ストレス後純資産 （再保険控除後）,所要資本 （マネジメント・アクション考慮前）,マネジメント・アクションの効果,所要資本 （マネジメント・アクション考慮後）,採用された ストレス
,T34,[1],[2],[3=1-2],[4],[5=3-4],[6]
商品区分合計,[1],,,dNAV_Morb_EEA_CHE_wo_MA,MA_Effect_Morb_EEA_CHE,dNAV_Morb_EEA_CHE,
    商品区分1：医療費補償,[2],,,dNAV_Morb1_EEA_CHE_wo_MA,MA_Effect_Morb1_EEA_CHE,dNAV_Morb1_EEA_CHE,
        保障期間：短期,[3],NAV_Morb_Base1_S_EEA_CHE,NAV_Morb1_S_EEA_CHE_wo_MA,dNAV_Morb1_S_EEA_CHE_wo_MA,MA_Effect_Morb1_S_EEA_CHE,dNAV_Morb1_S_EEA_CHE,
        保障期間：長期,[4],NAV_Morb_Base1_L_EEA_CHE,NAV_Morb1_L_EEA_CHE_wo_MA,dNAV_Morb1_L_EEA_CHE_wo_MA,MA_Effect_Morb1_L_EEA_CHE,dNAV_Morb1_L_EEA_CHE,
    商品区分2：健康事象発現時の一時金,[5],,,dNAV_Morb2_EEA_CHE_wo_MA,MA_Effect_Morb2_EEA_CHE,dNAV_Morb2_EEA_CHE,
        保障期間：短期,[6],NAV_Morb_Base2_S_EEA_CHE,NAV_Morb2_S_EEA_CHE_wo_MA,dNAV_Morb2_S_EEA_CHE_wo_MA,MA_Effect_Morb2_S_EEA_CHE,dNAV_Morb2_S_EEA_CHE,
        保障期間：長期,[7],NAV_Morb_Base2_L_EEA_CHE,NAV_Morb2_L_EEA_CHE_wo_MA,dNAV_Morb2_L_EEA_CHE_wo_MA,MA_Effect_Morb2_L_EEA_CHE,dNAV_Morb2_L_EEA_CHE,
    商品区分3：短期定期的給付,[8],,,dNAV_Morb3_EEA_CHE_wo_MA,MA_Effect_Morb3_EEA_CHE,dNAV_Morb3_EEA_CHE,
        保障期間：短期,[9],NAV_Morb_Base3_S_EEA_CHE,NAV_Morb3_S_EEA_CHE_wo_MA,dNAV_Morb3_S_EEA_CHE_wo_MA,MA_Effect_Morb3_S_EEA_CHE,dNAV_Morb3_S_EEA_CHE,
        保障期間：長期,[10],NAV_Morb_Base3_L_EEA_CHE,NAV_Morb3_L_EEA_CHE_wo_MA,dNAV_Morb3_L_EEA_CHE_wo_MA,MA_Effect_Morb3_L_EEA_CHE,dNAV_Morb3_L_EEA_CHE,
    商品区分4：長期定期的給付,[11],,,dNAV_Morb4_EEA_CHE_wo_MA,MA_Effect_Morb4_EEA_CHE,dNAV_Morb4_EEA_CHE,
        保障期間：短期,[12],NAV_Morb_Base4_S_EEA_CHE,NAV_Morb4_S_EEA_CHE_wo_MA,dNAV_Morb4_S_EEA_CHE_wo_MA,MA_Effect_Morb4_S_EEA_CHE,dNAV_Morb4_S_EEA_CHE,Scenario_Morb4_S_EEA_CHE
            発生率に対するストレス,[13],NAV_Morb_Base4_S_EEA_CHE,NAV_Morb4_S_Inc_EEA_CHE_wo_MA,dNAV_Morb4_S_Inc_EEA_CHE_wo_MA,MA_Effect_Morb4_S_Inc_EEA_CHE,dNAV_Morb4_S_Inc_EEA_CHE,
            回復率に対するストレス,[14],NAV_Morb_Base4_S_EEA_CHE,NAV_Morb4_S_Rec_EEA_CHE_wo_MA,dNAV_Morb4_S_Rec_EEA_CHE_wo_MA,MA_Effect_Morb4_S_Rec_EEA_CHE,dNAV_Morb4_S_Rec_EEA_CHE,
        保障期間：長期,[15],NAV_Morb_Base4_L_EEA_CHE,NAV_Morb4_L_EEA_CHE_wo_MA,dNAV_Morb4_L_EEA_CHE_wo_MA,MA_Effect_Morb4_L_EEA_CHE,dNAV_Morb4_L_EEA_CHE,Scenario_Morb4_L_EEA_CHE
            発生率に対するストレス,[16],NAV_Morb_Base4_L_EEA_CHE,NAV_Morb4_L_Inc_EEA_CHE_wo_MA,dNAV_Morb4_L_Inc_EEA_CHE_wo_MA,MA_Effect_Morb4_L_Inc_EEA_CHE,dNAV_Morb4_L_Inc_EEA_CHE,
            回復率に対するストレス,[17],NAV_Morb_Base4_L_EEA_CHE,NAV_Morb4_L_Rec_EEA_CHE_wo_MA,dNAV_Morb4_L_Rec_EEA_CHE_wo_MA,MA_Effect_Morb4_L_Rec_EEA_CHE,dNAV_Morb4_L_Rec_EEA_CHE,
