適格資本の要約,適格資本の要約,内訳,制限前,制限後,
,T4,[1],[2],[3],
適格資本,[1],,,AC,
正味Tier1資本,[2],,,AC_Tier1,
 算入制限のないTier1資本調達手段,[3],Tier1_FI_Unlimited_Details,Tier1_FI_Unlimited,,
 算入制限のあるTier1資本調達手段,[4],Tier1_FI_Limited_Details,Tier1_FI_Limited,,
 PLAMを有する算入制限のあるTier1資本調達手段,[5],Tier1_FI_PLAM_Details,Tier1_FI_PLAM,,
 資本調達手段以外のTier1資本,[6],,Tier1_Capital_Elements_excl_FI,,
  利益剰余金,[7],Tier1_Retained_Earnings,,,
  資本剰余金,[8],Tier1_Capital_Surplus,,,
  その他包括利益累計額（評価・換算差額等）,[9],Tier1_AOCI,,,
  その他の拠出金等（持分決済型の従業員ストックオプションを含む）,[10],Tier1_Contributed_Surplus,,,
  非支配株主持分,[11],Tier1_NCIｓ,,,
  経済価値ベースへの調整額,[12],Tier1_Adjustments_to_EV,,,
 Tier1資本からの控除項目,[13],,Tier1_Exclusions,,
  のれん（DTL相殺後）,[14],Tier1_Goodwill,,,
  ソフトウェア以外の無形資産（DTL相殺後）,[15],Tier1_IA_excl_Soft,,,
  ソフトウェア（DTL相殺後）,[16],Tier1_IA_Soft,,,
  DTA,[17],Tier1_DTA,,,
  退職給付に係る資産（DTL相殺後）,[18],Tier1_Retirement_Benefits,,,
  金融機関同士のTier1資本調達手段の相互持ち合い,[19],Tier1_Reciprocal_Capital_Hold,,,
  自己のTier1資本調達手段への直接投資および間接投資,[20],Tier1_Investments_in_Own_FI,,,
  不適格再保険資産,[21],Tier1_Non_Qualified_Reins,,,
  処分制約のある資産のうち関連する負債と所要資本を上回る額,[22],Tier1_Encumbered_Asset,,,
  連結および持分法適用の範囲から除外された関係事業体への投資,[23],Tier1_excl_from_Scope_of_Group,,,
正味Tier2資本,[24],,AC_Tier2_bef_Limits,AC_Tier2,
 Tier2資本調達手段,[25],,Tier2_FI,,
  算入制限のあるTier1資本の制限を超過した額,[26],Tier2_Excess_of_Tier1Limited,,,
  払込済みTier2資本調達手段,[27],Tier2_Paid_Up_FI,,,
  払込未済のTier2資本調達手段,[28],Tier2_Non_Paid_Up_FI_Details,Tier2_Non_Paid_Up_FI,,
 資本調達手段以外のTier2資本,[29],,Tier2_Capital_Elements_excl_FI,,
  資本剰余金,[30],Tier2_Capital_Surplus,,,
  処分制約のある資産のうちTier1資本から控除される額,[31],Tier2_Dedeuction_From_Tier1_EA,,,
  Tier2バスケット,[32],,Tier2_Basket,,係数
    退職給付に係る資産（DTL相殺後）の50%,[33],Tier2_Dedeuction_from_RB,,,Tier2_DED_from_RB_Factor
    DTA,[34],Tier2_DTA,,,
    ソフトウェア（DTL相殺後）の10%,[35],Tier2_Dedeuction_from_Soft,,,Tier2_DED_from_Soft_Factor
  Tier2資本からの控除項目,[36],,Tier2_Excl_from_Tier2_Capital,,
    金融機関同士のTier2資本調達手段の相互持ち合い,[37],Tier2_Reciprocal_Capital_Hold,,,
    自己のTier2資本調達手段への直接投資および間接投資,[38],Tier2_Investments_in_Own_FI,,,
