金融機関 （上記「企業」の内訳）,金融機関 （上記「企業」の内訳）,バランスシート資産,店頭デリバティブ,その他のオフバランスシート取引,担保または保証による再配分,再配分後の エクスポージャー,残存期間別： 0-1年,1-2年,2-3年,3-4年,4-5年,5-6年,6-7年,7-8年,8-9年,9-10年,10-11年,11-12年,12-13年,13-14年,14年超,チェック
格付区分,T71,[1],[2],[3],[4],[5 =1+2+3+4],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21]
1,[1],Credit_Corp_FI_1_BS_Assets,Credit_Corp_FI_1_Derivatives,Credit_Corp_FI_1_Off_Balance,Credit_Corp_FI_1_ReDist,Credit_Corp_FI_1_Post_ReDist,Credit_Corp_FI_1_0_1Y,Credit_Corp_FI_1_1_2Y,Credit_Corp_FI_1_2_3Y,Credit_Corp_FI_1_3_4Y,Credit_Corp_FI_1_4_5Y,Credit_Corp_FI_1_5_6Y,Credit_Corp_FI_1_6_7Y,Credit_Corp_FI_1_7_8Y,Credit_Corp_FI_1_8_9Y,Credit_Corp_FI_1_9_10Y,Credit_Corp_FI_1_10_11Y,Credit_Corp_FI_1_11_12Y,Credit_Corp_FI_1_12_13Y,Credit_Corp_FI_1_13_14Y,Credit_Corp_FI_1_14Y,
2,[2],Credit_Corp_FI_2_BS_Assets,Credit_Corp_FI_2_Derivatives,Credit_Corp_FI_2_Off_Balance,Credit_Corp_FI_2_ReDist,Credit_Corp_FI_2_Post_ReDist,Credit_Corp_FI_2_0_1Y,Credit_Corp_FI_2_1_2Y,Credit_Corp_FI_2_2_3Y,Credit_Corp_FI_2_3_4Y,Credit_Corp_FI_2_4_5Y,Credit_Corp_FI_2_5_6Y,Credit_Corp_FI_2_6_7Y,Credit_Corp_FI_2_7_8Y,Credit_Corp_FI_2_8_9Y,Credit_Corp_FI_2_9_10Y,Credit_Corp_FI_2_10_11Y,Credit_Corp_FI_2_11_12Y,Credit_Corp_FI_2_12_13Y,Credit_Corp_FI_2_13_14Y,Credit_Corp_FI_2_14Y,
3,[3],Credit_Corp_FI_3_BS_Assets,Credit_Corp_FI_3_Derivatives,Credit_Corp_FI_3_Off_Balance,Credit_Corp_FI_3_ReDist,Credit_Corp_FI_3_Post_ReDist,Credit_Corp_FI_3_0_1Y,Credit_Corp_FI_3_1_2Y,Credit_Corp_FI_3_2_3Y,Credit_Corp_FI_3_3_4Y,Credit_Corp_FI_3_4_5Y,Credit_Corp_FI_3_5_6Y,Credit_Corp_FI_3_6_7Y,Credit_Corp_FI_3_7_8Y,Credit_Corp_FI_3_8_9Y,Credit_Corp_FI_3_9_10Y,Credit_Corp_FI_3_10_11Y,Credit_Corp_FI_3_11_12Y,Credit_Corp_FI_3_12_13Y,Credit_Corp_FI_3_13_14Y,Credit_Corp_FI_3_14Y,
4,[4],Credit_Corp_FI_4_BS_Assets,Credit_Corp_FI_4_Derivatives,Credit_Corp_FI_4_Off_Balance,Credit_Corp_FI_4_ReDist,Credit_Corp_FI_4_Post_ReDist,Credit_Corp_FI_4_0_1Y,Credit_Corp_FI_4_1_2Y,Credit_Corp_FI_4_2_3Y,Credit_Corp_FI_4_3_4Y,Credit_Corp_FI_4_4_5Y,Credit_Corp_FI_4_5_6Y,Credit_Corp_FI_4_6_7Y,Credit_Corp_FI_4_7_8Y,Credit_Corp_FI_4_8_9Y,Credit_Corp_FI_4_9_10Y,Credit_Corp_FI_4_10_11Y,Credit_Corp_FI_4_11_12Y,Credit_Corp_FI_4_12_13Y,Credit_Corp_FI_4_13_14Y,Credit_Corp_FI_4_14Y,
5,[5],Credit_Corp_FI_5_BS_Assets,Credit_Corp_FI_5_Derivatives,Credit_Corp_FI_5_Off_Balance,Credit_Corp_FI_5_ReDist,Credit_Corp_FI_5_Post_ReDist,Credit_Corp_FI_5_0_1Y,Credit_Corp_FI_5_1_2Y,Credit_Corp_FI_5_2_3Y,Credit_Corp_FI_5_3_4Y,Credit_Corp_FI_5_4_5Y,Credit_Corp_FI_5_5_6Y,Credit_Corp_FI_5_6_7Y,Credit_Corp_FI_5_7_8Y,Credit_Corp_FI_5_8_9Y,Credit_Corp_FI_5_9_10Y,Credit_Corp_FI_5_10_11Y,Credit_Corp_FI_5_11_12Y,Credit_Corp_FI_5_12_13Y,Credit_Corp_FI_5_13_14Y,Credit_Corp_FI_5_14Y,
6,[6],Credit_Corp_FI_6_BS_Assets,Credit_Corp_FI_6_Derivatives,Credit_Corp_FI_6_Off_Balance,Credit_Corp_FI_6_ReDist,Credit_Corp_FI_6_Post_ReDist,Credit_Corp_FI_6_0_1Y,Credit_Corp_FI_6_1_2Y,Credit_Corp_FI_6_2_3Y,Credit_Corp_FI_6_3_4Y,Credit_Corp_FI_6_4_5Y,Credit_Corp_FI_6_5_6Y,Credit_Corp_FI_6_6_7Y,Credit_Corp_FI_6_7_8Y,Credit_Corp_FI_6_8_9Y,Credit_Corp_FI_6_9_10Y,Credit_Corp_FI_6_10_11Y,Credit_Corp_FI_6_11_12Y,Credit_Corp_FI_6_12_13Y,Credit_Corp_FI_6_13_14Y,Credit_Corp_FI_6_14Y,
7,[7],Credit_Corp_FI_7_BS_Assets,Credit_Corp_FI_7_Derivatives,Credit_Corp_FI_7_Off_Balance,Credit_Corp_FI_7_ReDist,Credit_Corp_FI_7_Post_ReDist,Credit_Corp_FI_7_0_1Y,Credit_Corp_FI_7_1_2Y,Credit_Corp_FI_7_2_3Y,Credit_Corp_FI_7_3_4Y,Credit_Corp_FI_7_4_5Y,Credit_Corp_FI_7_5_6Y,Credit_Corp_FI_7_6_7Y,Credit_Corp_FI_7_7_8Y,Credit_Corp_FI_7_8_9Y,Credit_Corp_FI_7_9_10Y,Credit_Corp_FI_7_10_11Y,Credit_Corp_FI_7_11_12Y,Credit_Corp_FI_7_12_13Y,Credit_Corp_FI_7_13_14Y,Credit_Corp_FI_7_14Y,
無格付,[8],Credit_Corp_FI_8_BS_Assets,Credit_Corp_FI_8_Derivatives,Credit_Corp_FI_8_Off_Balance,Credit_Corp_FI_8_ReDist,Credit_Corp_FI_8_Post_ReDist,Credit_Corp_FI_8_0_1Y,Credit_Corp_FI_8_1_2Y,Credit_Corp_FI_8_2_3Y,Credit_Corp_FI_8_3_4Y,Credit_Corp_FI_8_4_5Y,Credit_Corp_FI_8_5_6Y,Credit_Corp_FI_8_6_7Y,Credit_Corp_FI_8_7_8Y,Credit_Corp_FI_8_8_9Y,Credit_Corp_FI_8_9_10Y,Credit_Corp_FI_8_10_11Y,Credit_Corp_FI_8_11_12Y,Credit_Corp_FI_8_12_13Y,Credit_Corp_FI_8_13_14Y,Credit_Corp_FI_8_14Y,
債務不履行状態,[9],Credit_Corp_FI_9_BS_Assets,Credit_Corp_FI_9_Derivatives,Credit_Corp_FI_9_Off_Balance,Credit_Corp_FI_9_ReDist,Credit_Corp_FI_9_Post_ReDist,Credit_Corp_FI_9_0_1Y,Credit_Corp_FI_9_1_2Y,Credit_Corp_FI_9_2_3Y,Credit_Corp_FI_9_3_4Y,Credit_Corp_FI_9_4_5Y,Credit_Corp_FI_9_5_6Y,Credit_Corp_FI_9_6_7Y,Credit_Corp_FI_9_7_8Y,Credit_Corp_FI_9_8_9Y,Credit_Corp_FI_9_9_10Y,Credit_Corp_FI_9_10_11Y,Credit_Corp_FI_9_11_12Y,Credit_Corp_FI_9_12_13Y,Credit_Corp_FI_9_13_14Y,Credit_Corp_FI_9_14Y,
