手法1のエクスポージャー,手法1のエクスポージャー,LTV < 60%,60% <= LTV < 70%,70% <= LTV < 80%,80% <= LTV < 90%,90% <= LTV < 100%,100% <= LTV
,T79,[1],[2],[3],[4],[5],[6]
DSCR < 0.6,[1],Credit_Method1_DSCR00_LTV00,Credit_Method1_DSCR00_LTV60,Credit_Method1_DSCR00_LTV70,Credit_Method1_DSCR00_LTV80,Credit_Method1_DSCR00_LTV90,Credit_Method1_DSCR00_LTV100
0.6 <= DSCR < 0.8,[2],Credit_Method1_DSCR06_LTV00,Credit_Method1_DSCR06_LTV60,Credit_Method1_DSCR06_LTV70,Credit_Method1_DSCR06_LTV80,Credit_Method1_DSCR06_LTV90,Credit_Method1_DSCR06_LTV100
0.8 <= DSCR < 1.0,[3],Credit_Method1_DSCR08_LTV00,Credit_Method1_DSCR08_LTV60,Credit_Method1_DSCR08_LTV70,Credit_Method1_DSCR08_LTV80,Credit_Method1_DSCR08_LTV90,Credit_Method1_DSCR08_LTV100
1.0 <= DSCR < 1.2,[4],Credit_Method1_DSCR10_LTV00,Credit_Method1_DSCR10_LTV60,Credit_Method1_DSCR10_LTV70,Credit_Method1_DSCR10_LTV80,Credit_Method1_DSCR10_LTV90,Credit_Method1_DSCR10_LTV100
1.2 <= DSCR < 1.4,[5],Credit_Method1_DSCR12_LTV00,Credit_Method1_DSCR12_LTV60,Credit_Method1_DSCR12_LTV70,Credit_Method1_DSCR12_LTV80,Credit_Method1_DSCR12_LTV90,Credit_Method1_DSCR12_LTV100
1.4 <= DSCR < 1.6,[6],Credit_Method1_DSCR14_LTV00,Credit_Method1_DSCR14_LTV60,Credit_Method1_DSCR14_LTV70,Credit_Method1_DSCR14_LTV80,Credit_Method1_DSCR14_LTV90,Credit_Method1_DSCR14_LTV100
1.6 <= DSCR < 1.8,[7],Credit_Method1_DSCR16_LTV00,Credit_Method1_DSCR16_LTV60,Credit_Method1_DSCR16_LTV70,Credit_Method1_DSCR16_LTV80,Credit_Method1_DSCR16_LTV90,Credit_Method1_DSCR16_LTV100
1.8 <= DSCR < 2.0,[8],Credit_Method1_DSCR18_LTV00,Credit_Method1_DSCR18_LTV60,Credit_Method1_DSCR18_LTV70,Credit_Method1_DSCR18_LTV80,Credit_Method1_DSCR18_LTV90,Credit_Method1_DSCR18_LTV100
2.0 <= DSCR,[9],Credit_Method1_DSCR20_LTV00,Credit_Method1_DSCR20_LTV60,Credit_Method1_DSCR20_LTV70,Credit_Method1_DSCR20_LTV80,Credit_Method1_DSCR20_LTV90,Credit_Method1_DSCR20_LTV100
