,CPLB_DV_NM,CSTK_XCPT_CPSC_CLSF_NM,AST_NM,ISS_CP_NM,NEW_DT,EXPI_DT,WCVT_PVAL_AMT,WCVT_BAS_SCNR_MCLT_MKVAL,CSCRT_KICS_RCGNT_AMT,ILISS_UCNL_CPSC_YN,COCPT_QLFT_YN,SPCPT_QLFT_YN,CSCRT_BSR_USBT_RSN,CSCRT_BSR_CNTA_RSN,CSCRT_BSR_AFOA_RSN,CSCRT_BSR_OLAB_RSN
,,,,,,,,,,,계층분류 기준 충족 여부(Y/N),계층분류 기준 충족 여부(Y/N),기준충족 근거 기입,기준충족 근거 기입,기준충족 근거 기입,기준충족 근거 기입
,구분 (자본/부채 여부),보통주 이외의 자본증권 분류,자본증권 명칭,발행회사명,발행일자,만기일자,발행금액,평가금액,K-ICS  인정금액,조건부자본증권 여부 (Y/N),기본자본요건,보완자본요건,가용성,지속성,후순위성,기타제한의 부재
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
