구분,경과조치 적용 전 지급여력비율,자본감소분 경과조치 적용 후 지급여력비율,"장수위험,사업비위험,해지위험 및 대재해위험 경과조치 적용 후 지급여력비율",주식위험 경과조치 적용 후 지급여력비율,금리위험 경과조치 적용 후 지급여력비율,기발행 신종자본증권 기본자본 분류 후 지급여력비율,기발행 후순위채무 한도초과액 인정 후 지급여력비율,경과조치 적용 후 지급여력비율
경과조치 방안 도입 여부(Y/N),,N,Y,Y,N,Y,Y,
지급여력비율(%),SMRT,RATIO=1/10,RATIO=1/10,RATIO=1/10,RATIO=1/10,RATIO=1/10,RATIO=1/10,RATIO=1/10
지급여력금액,AVCPT_TTL_AMT,FORMULA=2+3,FORMULA=2+3,FORMULA=2+3,FORMULA=2+3,FORMULA=2+3,FORMULA=2+3,FORMULA=2+3
  기본자본,ALA_AF_COCPT_TTL_AMT,COPY=1,COPY=1,COPY=1,COPY=1,CALC_A_LA_AF_COCPT_TTL_AMT,COPY=1,CALC_A_LA_AF_COCPT_TTL_AMT
  보완자본,SPCPT_TTL_AMT,COPY=1,COPY=1,COPY=1,COPY=1,CALC_SPCPT_RCLITM_CRAM_EXCPT_INLAT_CSSC_STFC_NTCSRT_AMT,CALC_A_LA_AF_COCPT_TTL_AMT_2,CALC_SPCPT_RCLITM_CRAM_EXCPT_INLAT_CSSC_STFC_NTCSRT_AMT
보완자본 한도 적용 전,SPCPT_RCLITM_CRAM_EXCPT_INLAT,,,,,DIFF_SPCPT_RCLITM_CRAM_EXCPT_INLAT_CSSC_STFC_NTCSRT_AMT,DIFF_SPCPT_RCLITM_CRAM_EXCPT_INLAT_CSSC_STFC_NTCSRT_AMT,DIFF_SPCPT_RCLITM_CRAM_EXCPT_INLAT_CSSC_STFC_NTCSRT_AMT
보완자본 한도,,,,,,RQUAT_DCTAA_AMT_DIV_2,RQUAT_DCTAA_AMT_DIV_2,RQUAT_DCTAA_AMT_DIV_2
해약환급금 부족분 상당액 중 해약환급금준비금 상당액 초과분,CRDF_IN_CCRSK_RQUAT_EXCS_AMT,,,,,COPY=1,COPY=1,COPY=1
(기발행 신종자본증권),CSSC_STFC_NTCSRT_AMT,,,,,,,
(기발행 후순위채무),CSSC_STFCA_ODBAMT_AMT,,,,,,,
  자본감소분 경과조치 적용금액,N/A,,,,,,,
지급여력기준금액,RQUAT_DCTAA_AMT,COPY=1,RQUAT_DCTAA_AMT,RQUAT_DCTAA_AMT,0,COPY=1,COPY=1,RQUAT_DCTAA_AMT
기본요구자본,RQUAT_RRAAF_DCTAB_AMT,,TM_RQUAT_RRAAF_DCTAB_AMT,TM_RQUAT_RRAAF_DCTAB_AMT,,,,TM_RQUAT_RRAAF_DCTAB_AMT
  생명장기손해보험위험액,LFLT_INSU_RSKA,,TM_LFLT_INSU_RSKA,TM_LFLT_INSU_RSKA,COPY=1,,,TM_LFLT_INSU_RSKA
사망위험,DTH_RSK_CLRITC_AMT,,DTH_RSK_CLRITC_AMT,DTH_RSK_CLRITC_AMT,,,,DTH_RSK_CLRITC_AMT
장수위험,LGV_RSK_CLRITC_AMT,,TIR_LGV_RSK_CLTC_AMT,TIR_LGV_RSK_CLTC_AMT,,,,TIR_LGV_RSK_CLTC_AMT
장해∙질병위험,DSDS_RSK_CLRITC_AMT,,DSDS_RSK_CLRITC_AMT,DSDS_RSK_CLRITC_AMT,,,,DSDS_RSK_CLRITC_AMT
장기재물∙기타위험,N/A,,,,,,,
해지위험,CNC_RSK_CLRITC_AMT,,TIR_CNC_RSK_CLTC_AMT,TIR_CNC_RSK_CLTC_AMT,,,,
사업비위험,BZCF_RSK_CLRITC_AMT,,TIR_BZCF_RSK_CLTC_AMT,TIR_BZCF_RSK_CLTC_AMT,,,,
대재해위험,CTDS_RSK_VLU,,TIR_CTDS_RSK_VLU,TIR_CTDS_RSK_VLU,,,,TIR_CTDS_RSK_VLU
  일반손해보험위험액,,,,,,,,
    보험가격 및 준비금위험,,,,,,,,
    대재해위험,,,,,,,,
  시장위험액,MKRSK_TOT_AMT,,TM_MKRSK_TOT_AMT,TM_MKRSK_TOT_AMT,,,,TM_MKRSK_TOT_AMT
금리위험,IRRSK_TTAM_AMT,,IRRSK_TTAM_AMT,IRRSK_TTAM_AMT,,,,IRRSK_TTAM_AMT
주식위험,STK_RSKA,,TER_STK_RSKA,TER_STK_RSKA,COPY=1,,,TER_STK_RSKA
부동산위험,PPRSKA_AMT,,PPRSKA_AMT,PPRSKA_AMT,COPY=1,,,PPRSKA_AMT
외환위험,FRSAM_TOT_AMT,,FRSAM_TOT_AMT,FRSAM_TOT_AMT,COPY=1,,,FRSAM_TOT_AMT
자산집중위험,ASFC_RSKA_TOT_AMT,,ASFC_RSKA_TOT_AMT,ASFC_RSKA_TOT_AMT,COPY=1,,,ASFC_RSKA_TOT_AMT
  신용위험액,CRRK_DIRTY_DDAF_AMT,,CRRK_DIRTY_DDAF_AMT,CRRK_DIRTY_DDAF_AMT,COPY=1,,,CRRK_DIRTY_DDAF_AMT
  운영위험액,ORSK_TOT_AMT,,ORSK_TOT_AMT,ORSK_TOT_AMT,COPY=1,,,ORSK_TOT_AMT
법인세조정액,CTE_ACAM_AMT,,CTE_ACAM_AMT,CTE_ACAM_AMT,0,,,CTE_ACAM_AMT
기타요구자본,,,,,0,,,
  업권별 자본규제를 활용한 종속회사의 요구자본 환산치,,,,,,,,
  비례성원칙을 적용한 종속회사의 요구자본 대용치,,,,,,,,
  업권별 자본규제를 활용한 관계회사의 요구자본 환산치,,,,,,,,
*RBC 주식위험액,,,,,,,,0
*RBC 금리위험액,,,,,,,,0
