구분,BASE,평균회귀,금리상승,금리하락,금리평탄,금리경사
1. 현행추정부채,IRRKEX_DHLB_OCNT_PELBT_BAS_AMT,IRRKEX_DHLB_OCNT_PELBT_RGRS_AMT,IRRKEX_DHLB_OCNT_PELBT_UP_AMT,IRRKEX_DHLB_OCNT_PELBT_DOWN_AMT,IRRKEX_DHLB_OCNT_PELBT_FLAT_AMT,IRRKEX_DHLB_OCNT_PELBT_SLOPE_AMT
  가. 생명보험,IRRKEX_DHLB_OCNT_PELBT_BAS_AMT,IRRKEX_DHLB_OCNT_PELBT_RGRS_AMT,IRRKEX_DHLB_OCNT_PELBT_UP_AMT,IRRKEX_DHLB_OCNT_PELBT_DOWN_AMT,IRRKEX_DHLB_OCNT_PELBT_FLAT_AMT,IRRKEX_DHLB_OCNT_PELBT_SLOPE_AMT
   (1) 생명보험(퇴직보험 및 원리금보장형퇴직연금 제외),PELBT_IRT_BAS_AMT,PELBT_IRT_RGRS_AMT,PELBT_IRT_UP_AMT,PELBT_IRT_DOWN_AMT,PELBT_IRT_FLAT_AMT,PELBT_IRT_SLOPE_AMT
   (2) 퇴직보험 및 원리금보장형퇴직연금,PSACT_ESAM_BAS_AMT,PSACT_ESAM_AVRC_AMT,PSACT_ESAM_IRU_AMT,PSACT_ESAM_IRDN_AMT,PSACT_ESAM_IRPL_AMT,PSACT_ESAM_IRDC_AMT
  나. 장기손해보험,,,,,,
   (1) 장기손해보험(퇴직보험 및 원리금보장형퇴직연금 제외),,,,,,
   (2) 퇴직보험 및 원리금보장형퇴직연금,,,,,,
  다. 일반손해보험,,,,,,
2. 재보험자산,IRRKEX_DHAS_PBREIE_RINSAT_BAS_AMT,IRRKEX_DHAS_PBREIE_RINSAT_RGRS_AMT,IRRKEX_DHAS_PBREIE_RINSAT_RINSAT_AMT,IRRKEX_DHAS_PBREIE_RINSAT_DOWN_AMT,IRRKEX_DHAS_PBREIE_RINSAT_FLAT_AMT,IRRKEX_DHAS_PBREIE_RINSAT_SLOPE_AMT
  가. 생명보험,IRRKEX_DHAS_PBREIE_RINSAT_BAS_AMT,IRRKEX_DHAS_PBREIE_RINSAT_RGRS_AMT,IRRKEX_DHAS_PBREIE_RINSAT_RINSAT_AMT,IRRKEX_DHAS_PBREIE_RINSAT_DOWN_AMT,IRRKEX_DHAS_PBREIE_RINSAT_FLAT_AMT,IRRKEX_DHAS_PBREIE_RINSAT_SLOPE_AMT
  나. 장기손해보험,,,,,,
  다. 일반손해보험,,,,,,
