,구 분,환율 상승,환율 하락,가격변동 위험,외환위험액
,전체,FRSAM_ERTU_TOT_AMT,FRSAM_ERTD_TOT_AMT,FRSAM_RPCVA_AMT_TOT,FRSAM_TOT_AMT 
1,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
2,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
3,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
4,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
5,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
6,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
7,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
8,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
9,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
10,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
11,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
12,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
13,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
14,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
15,FRSAM_GRPG_IDTFR_AMT,FRSAM_ERTU_AMT,FRSAM_ERTD_AMT,FRSAM_RPCVA_AMT,
