 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 , 신용위험계수 
 DSCR , DSCR , DSCR , DSCR , DSCR , DSCR , DSCR , DSCR , DSCR , DSCR 
0.6,0.6~0.8,0.8~1.0,1.0~1.2,1.2~1.4,1.4~1.6,1.6~1.8,1.8~2.0,2.0,기타
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 7.8 , 7.8 , 7.8 , 6.0 , 6.0 , 4.8 , 4.8 , 4.8 , 4.8 ,
 7.8 , 7.8 , 7.8 , 6.0 , 6.0 , 6.0 , 4.8 , 4.8 , 4.8 ,
 7.8 , 7.8 , 7.8 , 7.8 , 7.8 , 6.0 , 4.8 , 4.8 , 4.8 ,
 15.8 , 15.8 , 15.8 , 7.8 , 7.8 , 6.0 , 6.0 , 6.0 , 6.0 ,
 15.8 , 15.8 , 15.8 , 15.8 , 7.8 , 7.8 , 7.8 , 6.0 , 6.0 ,
 23.5 , 23.5 , 23.5 , 15.8 , 7.8 , 7.8 , 7.8 , 6.0 , 6.0 ,
,,,,,,,,,
,,,,,,,,, 4.8 
,,,,,,,,, 6.0 
,,,,,,,,, 7.8 
,,,,,,,,, 15.8 
,,,,,,,,, 8.0 
,,,,,,,,,
,,,,,,,,, 3.6 
,,,,,,,,, 6.0 
,,,,,,,,, 7.8 
,,,,,,,,, 15.8 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 2.4 
,,,,,,,,, 2.8 
,,,,,,,,, 4.0 
,,,,,,,,, 4.8 
,,,,,,,,, 6.0 
,,,,,,,,, 8.4 
,,,,,,,,,
,,,,,,,,, 1.6 
,,,,,,,,, 2.8 
,,,,,,,,, 3.5 
,,,,,,,,, 4.0 
,,,,,,,,, 4.5 
,,,,,,,,, 5.6 
