구분 1,구분 2,구분 3,계정금액
총 요구자본(그룹기준),총 요구자본(그룹기준),총 요구자본(그룹기준),RQUAT_AMT
기타자본항목,담보제공자산중 피담보채무 초과금액,담보제공자산중 피담보채무 초과금액,CSCPV_RRC_EXCS_AMT
기타자본항목,지급이 예정된 주주배당액,지급이 예정된 주주배당액,PPND_SHOD_DIVD_AMT
기타자본항목,지급여력제고목적  타금융기관 교차보유자본성증권,지급여력제고목적  타금융기관 교차보유자본성증권,CHOD_CSCRT_AMT
기타자본항목,계약자지분조정상당액,계약자지분조정상당액,CSAJAM_DINSDT_RQUAT_PART_AMT
기타자본항목,해약환급금부족상당액 중 해지로 인한 요구자본 초과분,해약환급금부족상당액 중 해지로 인한 요구자본 초과분,CRDF_IN_CCRSK_RQUAT_EXCS_AMT
기타자본항목,잉여 비지배주주지분,잉여 비지배주주지분,NDCRAM_EXCS_AMT
기타자본항목,순 확정급여형 퇴직 금자산 상당액,시가재무상태표 가액,MFST_NDBTY_RTPAT_AMT
기타자본항목,순 확정급여형 퇴직 금자산 상당액,관련 이연법인세자산,NDBAST_DFCT_AST_AMT
기타자본항목,순 확정급여형 퇴직 금자산 상당액,관련 이연법인세부채,NDBAST_DFCT_LAT_AMT
기타자본항목,순 확정급여형 퇴직 금자산 상당액,계,NDBAST_AMT
