계 정 과 목,총괄
자산총계        ,PAP_BS_100000000000
    [자산총계_지배회사],PAP_BS_100000000010
    I. 운용자산        ,PAP_BS_110000000000
        1. 현금및예치금      ,PAP_BS_110100000000
            [잔존만기3개월이내예치금],PAP_BS_110100000010
            가. 현금과예금    ,PAP_BS_110100100000
                (1)현금  ,PAP_BS_110100101000
                (2)당좌예금  ,PAP_BS_110100102000
                (3)보통예금  ,PAP_BS_110100103000
                (4)정기예금  ,PAP_BS_110100104000
                (5)정기적금  ,PAP_BS_110100105000
                (6)해외제예금  ,PAP_BS_110100106000
                (7)기타예금  ,PAP_BS_110100107000
            나. 금전신탁    ,PAP_BS_110100200000
            다. 선물거래예치금    ,PAP_BS_110100300000
            라. 기타예치금    ,PAP_BS_110100400000
        2.유가증권      ,PAP_BS_110200000000
            2-1. 당기손익-공정가치측정유가증권,PAP_BS_110210000000
                가. 주식    ,PAP_BS_110210100000
                나. 출자금    ,PAP_BS_110210200000
                다. 국·공채    ,PAP_BS_110210300000
                라. 특수채    ,PAP_BS_110210400000
                마. 금융채    ,PAP_BS_110210500000
                바. 회사채    ,PAP_BS_110210600000
                사. 수익증권    ,PAP_BS_110210700000
                아. 외화표시유가증권    ,PAP_BS_110210800000
                    (1)주식  ,PAP_BS_110210801000
                    (2)채권  ,PAP_BS_110210802000
                    (3)수익증권  ,PAP_BS_110210803000
                    (4)신종유가증권  ,PAP_BS_110210804000
                    (5)기타유가증권  ,PAP_BS_110210805000
                자. 기타유가증권,PAP_BS_110210900000
            2-2. 기타포괄손익-공정가치측정유가증권      ,PAP_BS_110220000000
                가. 주식    ,PAP_BS_110220100000
                나. 출자금    ,PAP_BS_110220200000
                다. 국·공채    ,PAP_BS_110220300000
                라. 특수채    ,PAP_BS_110220400000
                마. 금융채    ,PAP_BS_110220500000
                바. 회사채    ,PAP_BS_110220600000
                사. 수익증권    ,PAP_BS_110220700000
                아. 외화표시유가증권    ,PAP_BS_110220800000
                    (1)주식  ,PAP_BS_110220801000
                    (2)채권  ,PAP_BS_110220802000
                    (3)수익증권  ,PAP_BS_110220803000
                    (4)신종유가증권  ,PAP_BS_110220804000
                    (5)기타유가증권  ,PAP_BS_110220805000
                자. 기타유가증권,PAP_BS_110220900000
            2-3. 상각후원가측정유가증권      ,PAP_BS_110230000000
                가. 국·공채    ,PAP_BS_110230100000
                나. 특수채    ,PAP_BS_110230200000
                다. 금융채    ,PAP_BS_110230300000
                라. 회사채    ,PAP_BS_110230400000
                마. 수익증권    ,PAP_BS_110230500000
                바. 외화표시유가증권    ,PAP_BS_110230600000
                    (1)채권  ,PAP_BS_110230601000
                    (2)수익증권  ,PAP_BS_110230602000
                    (3)신종유가증권  ,PAP_BS_110230603000
                    (4)기타유가증권  ,PAP_BS_110230604000
                사. 기타유가증권 ,PAP_BS_110230700000
            2-4. 지분법적용투자주식,PAP_BS_110240000000
                가. 주식    ,PAP_BS_110240100000
                나. 출자금    ,PAP_BS_110240200000
                다. 기타    ,PAP_BS_110240300000
        3. 대출채권      ,PAP_BS_110300000000
            가. 콜론    ,PAP_BS_110300100000
                (1)개인대출  ,PAP_BS_110300101000
                (2)기업대출  ,PAP_BS_110300102000
            나. 보험계약대출    ,PAP_BS_110300200000
                [보험계약대출_지배회사]      ,PAP_BS_110300200010
                (1)개인대출  ,PAP_BS_110300201000
                (2)기업대출  ,PAP_BS_110300202000
            다. 유가증권담보대출금    ,PAP_BS_110300300000
                (1)개인대출  ,PAP_BS_110300301000
                (2)기업대출  ,PAP_BS_110300302000
            라. 부동산담보대출금    ,PAP_BS_110300400000
                (1)개인대출  ,PAP_BS_110300401000
                (2)기업대출  ,PAP_BS_110300402000
            마. 신용대출금    ,PAP_BS_110300500000
                (1)개인대출  ,PAP_BS_110300501000
                (2)기업대출  ,PAP_BS_110300502000
