구분,+100bp,-100bp,금리충격시나리오 적용 전 가치,듀레이션 추정
Ⅰ. 자산총계,IRRKEX_ASTT_BAS_AMT,IRRKEX_ASTT_BAS_AMT,IRRKEX_ASTT_BAS_AMT,EVAL=(df.iloc[row].values[2] - df.iloc[row].values[1]) / (df.iloc[row].values[3] * 0.02)
 1. 직접보유,IRRKEX_DHAS_TTAM_BAS_AMT,IRRKEX_DHAS_TTAM_BAS_AMT,,
  가. 현금 및 예치금,IRRKEX_DHAS_CASH_BAS_AMT,IRRKEX_DHAS_CASH_BAS_AMT,,
  나. 주식,IRRKEX_DHAS_STK_BAS_AMT,IRRKEX_DHAS_STK_BAS_AMT,,
  다. 채권,IRRKEX_DHAS_BOND_BAS_AMT,IRRKEX_DHAS_BOND_BAS_AMT,,
  라. 대출채권,IRRKEX_DHAS_LOAN_BAS_AMT,IRRKEX_DHAS_LOAN_BAS_AMT,,
    (1) 보험약관대출,IRRKEX_DHAS_CLLON_BAS_AMT,IRRKEX_DHAS_CLLON_BAS_AMT,,
    (2) 개인대출,IRRKEX_DHAS_PLOAN_BAS_AMT,IRRKEX_DHAS_PLOAN_BAS_AMT,,
    (3) 기업대출,IRRKEX_DHAS_CLOAN_BAS_AMT,IRRKEX_DHAS_CLOAN_BAS_AMT,,
  마. 부동산,IRRKEX_DHAS_PRPT_BAS_AMT,IRRKEX_DHAS_PRPT_BAS_AMT,,
  바. 비운용자산,IRRKEX_DHAS_NOAS_BAS_AMT,IRRKEX_DHAS_NOAS_BAS_AMT,,
    (1) 재보험자산,IRRKEX_DHAS_RINSAT_RINSAT_UP_AMT,IRRKEX_DHAS_RINSAT_RINSAT_UP_AMT,,
      ① 공동재보험,IRRKEX_DHAS_PBRIA_BAS_AMT,IRRKEX_DHAS_PBRIA_BAS_AMT,,
      ② 공동재보험 이외,IRRKEX_DHAS_PBREIE_RINSAT_BAS_AMT,IRRKEX_DHAS_PBREIE_RINSAT_BAS_AMT,,
    (2) 파생상품자산,IRRKEX_DHAS_DRVT_BAS_AMT,IRRKEX_DHAS_DRVT_BAS_AMT,,
      ① 금리위험경감 인정 파생상품,IRRKEX_DHAS_IRHGDR_BAS_AMT,IRRKEX_DHAS_IRHGDR_BAS_AMT,,
      ② 금리위험경감 미인정 파생상품,IRRKEX_DHAS_IRIVDR_BAS_AMT,IRRKEX_DHAS_IRIVDR_BAS_AMT,,
      ③ 기타 파생상품,IRRKEX_DHAS_IROTDR_BAS_AMT,IRRKEX_DHAS_IROTDR_BAS_AMT,,
    (3) 기타자산,IRRKEX_DHAS_OTH_AMT,IRRKEX_DHAS_OTH_AMT,,
 2. 간접투자,IRRKEX_IDOW_TTAM_BAS_AMT,IRRKEX_IDOW_TTAM_BAS_AMT,,
  가. 현금 및 예치금,IRRKEX_IDOW_CASH_BAS_AMT,IRRKEX_IDOW_CASH_BAS_AMT,,
  나. 주식,IRRKEX_IDOW_STK_BAS_AMT,IRRKEX_IDOW_STK_BAS_AMT,,
  다. 채권,IRRKEX_IDOW_BOND_BAS_AMT,IRRKEX_IDOW_BOND_BAS_AMT,,
  라. 대출채권,IRRKEX_IDOW_LOAN_BAS_AMT,IRRKEX_IDOW_LOAN_BAS_AMT,,
  마. 부동산,IRRKEX_IDOW_PRPT_BAS_AMT,IRRKEX_IDOW_PRPT_BAS_AMT,,
  바. 비운용자산,IRRKEX_IDOW_NOAS_BAS_AMT,IRRKEX_IDOW_NOAS_BAS_AMT,,
    (1) 파생상품자산,IRRKEX_IDOW_DRVT_BAS_AMT,IRRKEX_IDOW_DRVT_BAS_AMT,,
      ① 금리위험경감 인정 파생상품,IRRKEX_IDOW_IRHGDR_BAS_AMT,IRRKEX_IDOW_IRHGDR_BAS_AMT,,
      ② 금리위험경감 미인정 파생상품,IRRKEX_IDOW_IRIVDR_BAS_AMT,IRRKEX_IDOW_IRIVDR_BAS_AMT,,
      ③ 기타 파생상품,IRRKEX_IDOW_IROTDR_BAS_AMT,IRRKEX_IDOW_IROTDR_BAS_AMT,,
    (2) 기타자산,IRRKEX_IDOW_OTH_AMT,IRRKEX_IDOW_OTH_AMT,,
 3. 간편법 적용 간접투자기구,,,,
Ⅱ. 부채총계,IRRKEX_LBTT_BAS_AMT,IRRKEX_LBTT_BAS_AMT,IRRKEX_LBTT_BAS_AMT,EVAL=(df.iloc[row].values[2] - df.iloc[row].values[1]) / (df.iloc[row].values[3] * 0.02)
 1. 직접보유,IRRKEX_DHLB_TTAM_BAS_AMT,IRRKEX_DHLB_TTAM_BAS_AMT,,
  가. 현행추정부채,IRRKEX_DHLB_OCNT_PELBT_BAS_AMT,IRRKEX_DHLB_OCNT_PELBT_BAS_AMT,,
  나. 기타부채,IRRKEX_DHLB_NINLB_BAS_AMT,IRRKEX_DHLB_NINLB_BAS_AMT,,
    (1) 차입금,IRRKEX_DHLB_BWAM_BAS_AMT,IRRKEX_DHLB_BWAM_BAS_AMT,,
    (2) 후순위차입,IRRKEX_DHLB_AOBW_BAS_AMT,IRRKEX_DHLB_AOBW_BAS_AMT,,
    (3) 일반채권,IRRKEX_DHLB_CBND_BAS_AMT,IRRKEX_DHLB_CBND_BAS_AMT,,
    (4) 후순위채권,IRRKEX_DHLB_AOCB_BAS_AMT,IRRKEX_DHLB_AOCB_BAS_AMT,,
    (5) 파생상품부채,IRRKEX_DHLB_DRVT_BAS_AMT,IRRKEX_DHLB_DRVT_BAS_AMT,,
      ① 금리위험경감 인정 파생상품,IRRKEX_DHLB_IRHGDR_BAS_AMT,IRRKEX_DHLB_IRHGDR_BAS_AMT,,
      ② 금리위험경감 미인정 파생상품,IRRKEX_DHLB_IRIVDR_BAS_AMT,IRRKEX_DHLB_IRIVDR_BAS_AMT,,
      ③ 기타 파생상품,IRRKEX_DHLB_IROTDR_BAS_AMT,IRRKEX_DHLB_IROTDR_BAS_AMT,,
    (6) 기타,IRRKEX_DHLB_OTH_AMT,IRRKEX_DHLB_OTH_AMT,,
 2. 간접투자,IRRKEX_IHAST_TTAM_BAS_AMT,IRRKEX_IHAST_TTAM_BAS_AMT,,
  가. 차입금,IRRKEX_IHAST_BWAM_BAS_AMT,IRRKEX_IHAST_BWAM_BAS_AMT,,
  나. 파생상품부채,IRRKEX_IHAST_DRVT_BAS_AMT,IRRKEX_IHAST_DRVT_BAS_AMT,,
    (1) 금리위험경감 인정 파생상품,IRRKEX_IHAST_IRHGDR_BAS_AMT,IRRKEX_IHAST_IRHGDR_BAS_AMT,,
    (2) 금리위험경감 미인정 파생상품,IRRKEX_IHAST_IRIVDR_BAS_AMT,IRRKEX_IHAST_IRIVDR_BAS_AMT,,
    (3) 기타 파생상품,IRRKEX_IHAST_IROTDR_BAS_AMT,IRRKEX_IHAST_IROTDR_BAS_AMT,,
  다. 기타부채,IRRKEX_IHAST_OTH_AMT,IRRKEX_IHAST_OTH_AMT,,
 3. 간편법 적용 간접투자기구,,,,
Ⅲ. 순자산가치,NASVAL_BAS_AMT,NASVAL_BAS_AMT,NASVAL_BAS_AMT,EVAL=(df.iloc[row].values[2] - df.iloc[row].values[1]) / (df.iloc[row].values[3] * 0.02)
 1. 순자산가치 (금리위험경감 미인정 파생상품 제외),NASVAL_IRIVDRE_TTAM_BAS_AMT,NASVAL_IRIVDRE_TTAM_BAS_AMT,,
 2. 순자산가치 (금리위험경감 미인정 파생상품),NASVAL__BAS_AMT,NASVAL__BAS_AMT,,
Ⅳ. 금리위험경감 미인정 파생상품 제외 금리위험액,,,,
