 신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수,신용위험계수 
 유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하),유효만기(n년 초과 - n+1년 이하) 
 0-1년,1-2년,2-3년,3-4년,4-5년,5-6년,6-7년,7-8년,8-9년,9-10년,10-11년,11-12년,12-13년,13-14년,14년+ 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.6,1.3,1.6,1.8,2.1,2.3,2.6,2.8,3.0,3.2,3.3,3.4,3.5,3.6,3.7 
 1.4,3.0,3.6,4.1,4.5,4.9,5.1,5.3,5.4,5.6,5.7,5.8,5.9,6.0,6.0 
 3.6,7.1,8.3,9.0,9.4,9.7,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8 
 8.9,14.4,15.3,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
 6.3,10.7,11.8,12.3,12.5,12.6,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
,,,,,,,,,,,,,,
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.6,1.3,1.6,1.8,2.1,2.3,2.6,2.8,3.0,3.2,3.3,3.4,3.5,3.6,3.7 
 1.4,3.0,3.6,4.1,4.5,4.9,5.1,5.3,5.4,5.6,5.7,5.8,5.9,6.0,6.0 
 3.6,7.1,8.3,9.0,9.4,9.7,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8 
 8.9,14.4,15.3,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
 6.3,10.7,11.8,12.3,12.5,12.6,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.2,0.7,0.9,1.2,1.4,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.4,2.5 
 0.6,1.3,1.6,1.8,2.1,2.3,2.6,2.8,3.0,3.2,3.3,3.4,3.5,3.6,3.7 
 1.4,3.0,3.6,4.1,4.5,4.9,5.1,5.3,5.4,5.6,5.7,5.8,5.9,6.0,6.0 
 3.6,7.1,8.3,9.0,9.4,9.7,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8 
 8.9,14.4,15.3,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
 6.3,10.7,11.8,12.3,12.5,12.6,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7 
 35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0 
,,,,,,,,,,,,,,
