구분,,
,계정,합계액
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),담보제공자산 총액,CSAT_TAMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),현금 및 예치금*,CSAT_IN_CNDPS_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),투자부동산,CSAT_IN_IVPT_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),자가부동산,CSAT_IN_SFPRT_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),국채,CSAT_IN_NTBND_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),공채,CSAT_IN_PBBND_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),회사채(투자등급이상),CSAT_IN_CBIGU_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),회사채(투자등급이하),CSAT_IN_CBIGD_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),회사채(등급없음),CSAT_IN_CBGN_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),회사채(부도채권),CSAT_IN_CBDM_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),주식,CSAT_IN_STK_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),기타자산,CSAT_IN_OAST_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),담보제공자산으로 보증되는 난내 피담보채무 총액,CSAT_NINC_TAMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),담보제공자산 또는 피담보채무 관련 이연법인세자산,CSAT_SCDR_DCTA_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),담보제공자산 또는 피담보채무 관련 이연법인세부채,CSAT_SCDR_DCTL_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),해당 자산 및 부채 관련 요구자본,CSAT_LAT_RQUAT_AMT
그룹기준 (☞ 그룹 전체 합계액은 그룹 내부 거래를 제거한 금액으로 작성),기본자본 차감 후 보완자본 재분류액,CSCPV_RRC_EXCS_AMT
