Account_Name,group_row_hidden
BEL,1
BEL New Biz-Loss_prev,
BEL New Biz-Other_prev,
BEL(AOCI) New Biz-Loss_prev,
BEL(AOCI) New Biz-Other_prev,
BEL New Biz-Loss,
BEL New Biz-Other,
BEL(AOCI) New Biz-Loss,
BEL(AOCI) New Biz-Other,
(Sus) CSM New Biz,
RA,1
RA New Biz-Loss_prev,
RA New Biz-Other_prev,
RA(AOCI) New Biz-Loss_prev,
RA(AOCI) New Biz-Other_prev,
RA New Biz-Loss,
RA New Biz-Other,
RA(AOCI) New Biz-Loss,
RA(AOCI) New Biz-Other,
CSM,1
CSM New Biz,
Deferred Tax Liabilities,1
Insurance Revenue,1
Insurance Revenue New Biz-Exp. Claim,
Insurance Revenue New Biz-Exp. DAC(Premium-irrelevant),
Insurance Revenue New Biz-Exp. Maint. Cost,
Insurance Revenue New Biz-Exp. Insp. Cost,
Insurance Revenue New Biz-Exp. Inv. Mng. Cost,
Insurance Revenue New Biz-RA Changes,
Insurance Revenue New Biz-CSM Amor.,
Insurance Revenue New Biz-DAC Amor,
Insurance Expense,1
Insurance Expense New Biz-Claim,
Insurance Expense New Biz-DAC(Premium-irrelevant),
Insurance Expense New Biz-Maint. Cost,
Insurance Expense New Biz-Insp. Cost,
Insurance Expense New Biz-Inv. Mng. Cost,
Insurance Expense New Biz-DAC Amor.,
Insurance Expense New Biz-Loss(IR),
Insurance Expense New Biz-Loss Reversal,
Insurance Expense New Biz-Loss Reversal(prev),
Insurance Expense New Biz-Loss(SM),
Interest Expense,1
Interest Expense New Biz-BEL,
Interest Expense New Biz-RA,
Interest Expense New Biz-CSM,
AOCI,1
AOCI(BEL) Loss New Biz-Other,
AOCI(BEL) Gain New Biz-Other,
AOCI(BEL) Loss New Biz-Loss,
AOCI(BEL) Gain New Biz-Loss,
AOCI(RA) Loss New Biz-Other,
AOCI(RA) Gain New Biz-Other,
AOCI(RA) Loss New Biz-Loss,
AOCI(RA) Gain New Biz-Loss,
AOCI(DTL-BEL) Loss New Biz-Loss,
AOCI(DTL-BEL) Loss New Biz-Other,
AOCI(DTL-BEL) Gain New Biz-Loss,
AOCI(DTL-BEL) Gain New Biz-Other,
AOCI(DTL-RA) Loss New Biz-Loss,
AOCI(DTL-RA) Loss New Biz-Other,
AOCI(DTL-RA) Gain New Biz-Loss,
AOCI(DTL-RA) Gain New Biz-Other,
